Time (sec),Voltage (V),AccX (m/s^2),AccY (m/s^2),Gyro (deg/sec),Gyro45(deg/sec),Theta (deg)
3.03,0,-1.98144,9.52456,32.2266,33.0942,-12.9856
3.04,0,-1.98144,9.52456,32.2266,33.4483,-12.9856
3.05,0,-1.98144,9.52456,33.8379,33.8025,-12.9856
3.06,0,-2.07809,9.52456,33.8379,34.1566,-13.2453
3.07,0,-2.17473,9.52456,33.8379,34.1566,-13.2453
3.08,0,-2.17473,9.52456,33.8379,34.1566,-13.505
3.09,0,-2.27138,9.52456,33.8379,34.1566,-13.505
3.1,0,-2.36802,9.52456,33.8379,34.1566,-13.505
3.11,0,-2.36802,9.52456,33.8379,33.8025,-13.7647
3.12,0,-2.36802,9.52456,33.8379,34.1566,-13.7647
3.13,0,-2.17473,9.52456,33.8379,33.8025,-13.7647
3.14,0,-2.27138,9.52456,33.8379,34.1566,-13.7647
3.15,0,-2.27138,9.42931,33.8379,34.5107,-14.0244
3.16,0,-2.27138,9.52456,33.8379,34.5107,-14.0244
3.17,0,-2.27138,9.52456,33.8379,34.8649,-14.0244
3.18,0,-2.27138,9.52456,33.8379,34.8649,-14.2841
3.19,0,-2.36802,9.42931,35.4492,35.219,-14.5437
3.2,0,-2.27138,9.52456,35.4492,35.5732,-14.5437
3.21,0,-2.27138,9.42931,35.4492,35.5732,-14.5437
3.22,0,-2.17473,9.42931,35.4492,36.2814,-14.5437
3.23,0,-2.17473,9.42931,35.4492,36.2814,-14.8034
3.24,0,-2.07809,9.42931,37.0605,36.9897,-14.8034
3.25,0,-2.07809,9.42931,37.0605,37.698,-14.8034
3.26,-0,-2.17473,9.42931,37.0605,38.0521,-14.8034
3.27,-0,-2.17473,9.42931,38.6719,38.4063,-14.8034
3.28,-0,-2.17473,9.42931,38.6719,39.1145,-15.0631
3.29,-0,-2.27138,9.42931,38.6719,39.8228,-15.0631
3.3,-0,-2.27138,9.42931,40.2832,40.177,-15.3228
3.31,-0,-2.27138,9.42931,40.2832,40.177,-15.3228
3.32,-0,-2.46467,9.42931,40.2832,40.5311,-15.3228
3.33,-0,-2.46467,9.42931,40.2832,40.5311,-15.3228
3.34,-0,-2.46467,9.42931,40.2832,40.8852,-15.3228
3.35,-0,-2.46467,9.42931,40.2832,41.2394,-15.3228
3.36,-0,-2.56131,9.42931,40.2832,41.2394,-15.3228
3.37,-0,-2.46467,9.42931,40.2832,41.2394,-15.3228
3.38,-0,-2.56131,9.42931,40.2832,41.5935,-15.3228
3.39,-0,-2.46467,9.42931,40.2832,41.5935,-15.5825
3.4,-0,-2.56131,9.42931,41.8945,41.9476,-15.5825
3.41,-0,-2.56131,9.42931,41.8945,41.9476,-15.5825
3.42,-0,-2.56131,9.42931,41.8945,41.5935,-15.5825
3.43,-0,-2.56131,9.42931,41.8945,41.9476,-15.5825
3.44,-0,-2.65796,9.42931,41.8945,41.9476,-15.5825
3.45,-0,-2.56131,9.42931,41.8945,41.9476,-15.5825
3.46,-0,-2.56131,9.42931,41.8945,41.9476,-15.5825
3.47,-0,-2.56131,9.42931,41.8945,41.9476,-15.8422
3.48,-0,-2.56131,9.42931,41.8945,41.9476,-15.8422
3.49,-0,-2.46467,9.42931,41.8945,42.3018,-15.8422
3.5,-0,-2.36802,9.42931,41.8945,42.6559,-15.8422
3.51,0,-2.36802,9.42931,41.8945,43.0101,-15.8422
3.52,0,-2.36802,9.42931,43.5059,43.3642,-15.8422
3.53,0,-2.46467,9.42931,43.5059,43.7183,-15.8422
3.54,0,-2.56131,9.42931,43.5059,43.7183,-15.8422
3.55,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.56,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.57,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.58,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.59,0,-2.65796,9.42931,43.5059,44.0725,-15.8422
3.6,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.61,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.62,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
3.63,0,-2.65796,9.42931,43.5059,43.7183,-15.8422
